age_min,age_max,age_group,sex,value,nutrient_ndb_num,unit_cd_nih
0.0,0.5,1,,200.0,301,4
0.0,0.5,1,,0.2,862,5
0.0,0.5,1,,200.0,312,5
0.0,0.5,1,,0.01,313,4
0.0,0.5,1,,110.0,863,5
0.0,0.5,1,,0.27,303,4
0.0,0.5,1,,30.0,304,4
0.0,0.5,1,,0.003,315,4
0.0,0.5,1,,2.0,864,5
0.0,0.5,1,,100.0,305,4
0.0,0.5,1,,15.0,317,5
0.0,0.5,1,,2.0,309,4
0.0,0.5,1,,400.0,306,4
0.0,0.5,1,,110.0,307,4
0.0,0.5,1,,0.18,865,1
0.583333333333333,0.916666666666667,1,,260.0,301,4
0.583333333333333,0.916666666666667,1,,5.5,862,5
0.583333333333333,0.916666666666667,1,,220.0,312,5
0.583333333333333,0.916666666666667,1,,0.5,313,4
0.583333333333333,0.916666666666667,1,,130.0,863,5
0.583333333333333,0.916666666666667,1,,11.0,303,4
0.583333333333333,0.916666666666667,1,,75.0,304,4
0.583333333333333,0.916666666666667,1,,0.6,315,4
0.583333333333333,0.916666666666667,1,,3.0,864,5
0.583333333333333,0.916666666666667,1,,275.0,305,4
0.583333333333333,0.916666666666667,1,,20.0,317,5
0.583333333333333,0.916666666666667,1,,3.0,309,4
0.583333333333333,0.916666666666667,1,,860.0,306,4
0.583333333333333,0.916666666666667,1,,370.0,307,4
0.583333333333333,0.916666666666667,1,,0.57,865,1
1.0,3.0,2,,700.0,301,4
1.0,3.0,2,,11.0,862,5
1.0,3.0,2,,340.0,312,5
1.0,3.0,2,,0.7,313,4
1.0,3.0,2,,90.0,863,5
1.0,3.0,2,,7.0,303,4
1.0,3.0,2,,80.0,304,4
1.0,3.0,2,,1.2,315,4
1.0,3.0,2,,17.0,864,5
1.0,3.0,2,,460.0,305,4
1.0,3.0,2,,20.0,317,5
1.0,3.0,2,,3.0,309,4
1.0,3.0,2,,2000.0,306,4
1.0,3.0,2,,800.0,307,4
1.0,3.0,2,,1.5,865,1
4.0,8.0,2,,1000.0,301,4
4.0,8.0,2,,15.0,862,5
4.0,8.0,2,,440.0,312,5
4.0,8.0,2,,1.0,313,4
4.0,8.0,2,,90.0,863,5
4.0,8.0,2,,10.0,303,4
4.0,8.0,2,,130.0,304,4
4.0,8.0,2,,1.5,315,4
4.0,8.0,2,,22.0,864,5
4.0,8.0,2,,500.0,305,4
4.0,8.0,2,,30.0,317,5
4.0,8.0,2,,5.0,309,4
4.0,8.0,2,,2300.0,306,4
4.0,8.0,2,,1000.0,307,4
4.0,8.0,2,,1.9,865,1
9.0,13.0,2,1.0,1300.0,301,4
9.0,13.0,2,1.0,25.0,862,5
9.0,13.0,2,1.0,700.0,312,5
9.0,13.0,2,1.0,2.0,313,4
9.0,13.0,2,1.0,120.0,863,5
9.0,13.0,2,1.0,8.0,303,4
9.0,13.0,2,1.0,240.0,304,4
9.0,13.0,2,1.0,1.9,315,4
9.0,13.0,2,1.0,34.0,864,5
9.0,13.0,2,1.0,1250.0,305,4
9.0,13.0,2,1.0,40.0,317,5
9.0,13.0,2,1.0,8.0,309,4
9.0,13.0,2,1.0,2500.0,306,4
9.0,13.0,2,1.0,1200.0,307,4
9.0,13.0,2,1.0,2.3,865,1
14.0,18.0,3,1.0,1300.0,301,4
14.0,18.0,3,1.0,35.0,862,5
14.0,18.0,3,1.0,890.0,312,5
14.0,18.0,3,1.0,3.0,313,4
14.0,18.0,3,1.0,150.0,863,5
14.0,18.0,3,1.0,11.0,303,4
14.0,18.0,3,1.0,410.0,304,4
14.0,18.0,3,1.0,2.2,315,4
